cachoeira dourada,MG,Low_Weight
cachoeira paulista,SP,Heavy_Weight
cachoeiras de macacu,RJ,Low_Weight
cachoeirinha,RS,Heavy_Weight
cachoeiro de itapemirim,ES,Low_Weight
cacimbinhas,AL,Low_Weight
cacoal,RO,Low_Weight
caconde,SP,Heavy_Weight
cacu,GO,Low_Weight
cacule,BA,Heavy_Weight
caem,BA,Low_Weight
caetanopolis,MG,Low_Weight
caete,MG,Heavy_Weight
caetes,PE,Low_Weight
caetite,BA,Heavy_Weight
cafeara,PR,Low_Weight
cafelandia,PR,Low_Weight
cafelandia,SP,Heavy_Weight
caiana,MG,Low_Weight
caiaponia,GO,Low_Weight
caibate,RS,Low_Weight
caibi,SC,Low_Weight
caicara do norte,RN,Low_Weight
caico,RN,Heavy_Weight
caieiras,SP,Heavy_Weight
cairu,BA,Low_Weight
caiua,SP,Low_Weight
cajamar,SP,Heavy_Weight
cajapio,MA,Low_Weight
cajari,MA,Low_Weight
cajati,SP,Heavy_Weight
cajazeiras,PB,Heavy_Weight
cajobi,SP,Low_Weight
cajueiro,AL,Low_Weight
cajuri,MG,Low_Weight
cajuru,SP,Low_Weight
calcado,PE,Low_Weight
caldas,MG,Heavy_Weight
caldas brandao,PB,Low_Weight
caldas do jorro,BA,Low_Weight
caldas novas,GO,Low_Weight
caldeirao grande,BA,Low_Weight
caldeirao grande do piaui,PI,Heavy_Weight
california,PR,Low_Weight
california da barra,RJ,Low_Weight
calmon,SC,Low_Weight
camacan,BA,Low_Weight
camacari,BA,Low_Weight
camacho,MG,Heavy_Weight
camamu,BA,Heavy_Weight
camanducaia,MG,Low_Weight
camapua,MS,Low_Weight
camaqua,RS,Low_Weight
camaragibe,PE,Heavy_Weight
cambara,PR,Low_Weight
cambara do sul,RS,Low_Weight
cambe,PR,Heavy_Weight
cambiasca,RJ,Low_Weight
cambira,PR,Heavy_Weight
camboriu,SC,Low_Weight
cambuci,RJ,Heavy_Weight
cambui,MG,Heavy_Weight
cambuquira,MG,Low_Weight
cameta,PA,Low_Weight
camocim,CE,Low_Weight
camocim de sao felix,PE,Low_Weight
campanario,MG,Low_Weight
campanha,MG,Low_Weight
campestre,MG,Low_Weight
campestre da serra,RS,Low_Weight
campestre do maranhao,MA,Low_Weight
campina da lagoa,PR,Low_Weight
campina das missoes,RS,Low_Weight
campina do monte alegre,SP,Heavy_Weight
campina grande,PB,Heavy_Weight
campina grande do sul,PR,Heavy_Weight
campina verde,MG,Heavy_Weight
campinacu,GO,Low_Weight
campinapolis,MT,Low_Weight
campinas,SP,Heavy_Weight
campinas do sul,RS,Heavy_Weight
campinorte,GO,Heavy_Weight
campo alegre,AL,Heavy_Weight
campo alegre,SC,Heavy_Weight
campo alegre de goias,GO,Heavy_Weight
campo alegre de lourdes,BA,Heavy_Weight
campo alegre de minas,MG,Low_Weight
campo alegre do fidalgo,PI,Low_Weight
campo azul,MG,Low_Weight
campo belo,MG,Low_Weight
campo bom,RS,Heavy_Weight
campo bonito,PR,Heavy_Weight
campo do brito,SE,Low_Weight
campo do meio,MG,Low_Weight
campo do tenente,PR,Low_Weight
campo ere,SC,Low_Weight
campo florido,MG,Low_Weight
campo formoso,BA,Heavy_Weight
campo grande,MS,Heavy_Weight
campo grande do piaui,PI,Low_Weight
campo largo,PR,Low_Weight
campo limpo paulista,SP,Heavy_Weight
campo magro,PR,Low_Weight
campo maior,PI,Low_Weight
campo mourao,PR,Heavy_Weight
campo novo,RS,Low_Weight
campo novo do parecis,MT,Heavy_Weight
campo verde,MT,Low_Weight
campos altos,MG,Low_Weight
campos belos,GO,Low_Weight
campos borges,RS,Heavy_Weight
campos de julio,MT,Heavy_Weight
campos do jordao,SP,Heavy_Weight
campos dos goytacazes,RJ,Low_Weight
campos gerais,MG,Heavy_Weight
campos novos,SC,Low_Weight
campos sales,CE,Heavy_Weight
campos verdes,GO,Heavy_Weight
camutanga,PE,Low_Weight
canaa,MG,Low_Weight
canaa dos carajas,PA,Heavy_Weight
cananeia,SP,Heavy_Weight
canapi,AL,Heavy_Weight
canapolis,BA,Low_Weight
canapolis,MG,Low_Weight
canarana,BA,Low_Weight
canarana,MT,Low_Weight
canavieiras,BA,Heavy_Weight
candeal,BA,Heavy_Weight
candeias,BA,Heavy_Weight
candeias,MG,Heavy_Weight
candeias do jamari,RO,Heavy_Weight
candelaria,RS,Heavy_Weight
candido de abreu,PR,Low_Weight
candido godoi,RS,Heavy_Weight
candido mendes,MA,Low_Weight
candido mota,SP,Low_Weight
candido rodrigues,SP,Low_Weight
candido sales,BA,Low_Weight
candiota,RS,Heavy_Weight
candoi,PR,Low_Weight
canela,RS,Low_Weight
canelinha,SC,Low_Weight
cangucu,RS,Heavy_Weight
canhotinho,PE,Low_Weight
caninde,CE,Low_Weight
caninde de sao francisco,SE,Low_Weight
canitar,SP,Heavy_Weight
canoas,RS,Heavy_Weight
canoinhas,SC,Heavy_Weight
cansancao,BA,Low_Weight
cantagalo,MG,Heavy_Weight
cantagalo,PR,Low_Weight
cantagalo,RJ,Low_Weight
cantanhede,MA,Low_Weight
canto do buriti,PI,Heavy_Weight
canudos,BA,Heavy_Weight
capanema,PA,Low_Weight
capanema,PR,Low_Weight
capao bonito,SP,Heavy_Weight
capao da canoa,RS,Low_Weight
capao da porteira,RS,Low_Weight
capao do cipo,RS,Heavy_Weight
capao do leao,RS,Heavy_Weight
caparao,MG,Low_Weight
capela,SE,Low_Weight
capela de santana,RS,Low_Weight
capela do alto,SP,Heavy_Weight
capela do alto alegre,BA,Low_Weight
capela nova,MG,Low_Weight
capelinha,MG,Low_Weight
capetinga,MG,Low_Weight
capim branco,MG,Low_Weight
capim grosso,BA,Low_Weight
capinopolis,MG,Heavy_Weight
capinzal,SC,Low_Weight
capinzal do norte,MA,Low_Weight
capistrano,CE,Low_Weight
